metric,n_neighbors,min_dist,silhouette
correlation,15,0.5,0.1198255643248558
correlation,30,0.5,0.11612053215503693
correlation,20,0.5,0.11510522663593292
correlation,5,0.5,0.11491444706916809
correlation,10,0.5,0.11386607587337494
correlation,5,0.2,0.10694105923175812
correlation,10,0.2,0.10588663816452026
correlation,5,0.05,0.10505706071853638
correlation,5,0.1,0.10488872230052948
cosine,5,0.1,0.10255066305398941
correlation,5,0.0,0.10182125866413116
correlation,20,0.2,0.10012254863977432
cosine,5,0.2,0.09950157254934311
correlation,10,0.1,0.09885238111019135
correlation,15,0.2,0.09576345980167389
cosine,20,0.5,0.09571215510368347
correlation,30,0.2,0.0956178531050682
cosine,15,0.05,0.09484227001667023
cosine,20,0.2,0.09479964524507523
cosine,5,0.5,0.0947064459323883
cosine,30,0.5,0.09457258880138397
correlation,10,0.0,0.09452417492866516
cosine,10,0.5,0.09413886815309525
cosine,15,0.2,0.0939456894993782
cosine,20,0.1,0.0935584157705307
correlation,10,0.05,0.0935465395450592
cosine,10,0.2,0.0931258350610733
cosine,15,0.5,0.09271398186683655
cosine,5,0.05,0.09256734699010849
euclidean,20,0.5,0.09243028610944748
euclidean,20,0.2,0.09208165109157562
correlation,20,0.1,0.09136732667684555
correlation,15,0.1,0.09131020307540894
euclidean,15,0.05,0.09126947820186615
cosine,15,0.1,0.09118692576885223
cosine,30,0.2,0.09102140367031097
correlation,20,0.05,0.09098459035158157
euclidean,15,0.2,0.0905032753944397
euclidean,10,0.2,0.08999599516391754
euclidean,15,0.5,0.08977394551038742
euclidean,20,0.1,0.08973079919815063
correlation,30,0.1,0.08885536342859268
euclidean,20,0.05,0.08875258266925812
euclidean,15,0.1,0.08872092515230179
euclidean,10,0.5,0.08862245082855225
correlation,15,0.05,0.08834556490182877
cosine,30,0.1,0.08815298229455948
euclidean,20,0.0,0.08794994652271271
euclidean,10,0.0,0.08790674060583115
euclidean,30,0.2,0.08780032396316528
euclidean,30,0.5,0.087666355073452
euclidean,15,0.0,0.08747778832912445
cosine,10,0.1,0.08718995004892349
correlation,20,0.0,0.08695858716964722
cosine,15,0.0,0.08688971400260925
euclidean,10,0.1,0.0867808535695076
correlation,30,0.05,0.08671698719263077
cosine,20,0.05,0.08664518594741821
cosine,30,0.0,0.08663025498390198
euclidean,30,0.1,0.08651015907526016
cosine,30,0.05,0.0863422378897667
cosine,10,0.05,0.08580224215984344
euclidean,5,0.2,0.0848621129989624
cosine,20,0.0,0.08475598692893982
euclidean,30,0.05,0.08450080454349518
correlation,15,0.0,0.08431302756071091
cosine,10,0.0,0.08352047204971313
euclidean,5,0.5,0.08322055637836456
correlation,30,0.0,0.083177849650383
euclidean,10,0.05,0.08292058855295181
euclidean,5,0.1,0.08231055736541748
euclidean,5,0.05,0.08147336542606354
cosine,5,0.0,0.07869136333465576
euclidean,30,0.0,0.07820199429988861
euclidean,5,0.0,0.07691451907157898
